DOI,Year,Keywords
10.1002/ece3.9672,2023,deep‐sea; depth range; environmental DNA; genetic reference database; marine fishes; metabarcoding markers
10.1038/s41598-020-78525-6,2020,N/A
10.1002/ece3.3123,2017,DNA metabarcoding; Neophoca cinerea; apex predator; dietary scat analysis; next generation sequencing
10.1371/journal.pone.0058971,2013,N/A
10.1371/journal.pone.0020962,2011,N/A
10.1371/journal.pone.0011510,2010,N/A
10.1002/ece3.11382,2024,Salmincola edwardsii; eDNA; metabarcoding; occupancy modeling; qPCR
10.1371/journal.pone.0162493,2016,N/A
10.1038/s41598-022-23888-1,2022,N/A
10.1371/journal.pone.0225409,2019,N/A
10.1371/journal.pone.0179443,2017,N/A
10.1371/journal.pone.0022588,2011,N/A
10.1371/journal.pone.0012444,2010,N/A
10.1002/ece3.7658,2021,environmental DNA; in silico; metabarcoding; primer selection; tank
10.1093/dnares/dsac018,2022,eDNA barcoding; eDNA metabarcoding; environmental DNA (eDNA); environmental RNA (eRNA)
10.1371/journal.pone.0224119,2020,N/A
10.1002/ece3.5871,2019,Caribbean; biomonitoring; ecosystems; environmental DNA; marine biodiversity
10.1016/j.mex.2021.101238,2021,MiFish; PCR efficiency; Pumped deep-sea water; eDNA yield
10.1038/s41598-020-77179-8,2020,N/A
10.1038/s41396-019-0457-1,2019,N/A
10.1002/mbo3.611,2018,16S rRNA gene; Illumina; high-throughput sequencing; microbial diversity
10.1002/ece3.9675,2023,COI metabarcoding; Panama Canal; environmental DNA (eDNA); fish invasion; gillnet fish sampling
10.1038/s41598-023-32862-4,2023,N/A
10.7717/peerj.7335,2019,Environmental DNA; Freshwater; High-throughput sequencing; Metabarcoding; Replicates; Sampling strategy; Spatiotemporal variation
10.1098/rsos.160635,2016,eDNA; freshwater bioassessment; metabarcoding
10.1186/s12862-021-01947-x,2021,Methods comparison; Plant genetics; eDNA
10.1007/s00442-023-05428-4,2023,Biodiversity assessment; Biomonitoring; Environmental DNA; Metabarcoding; Spatial ecology
10.1371/journal.pone.0157505,2016,N/A
10.1093/nar/gkl938,2007,N/A
10.1073/pnas.0503123102,2005,N/A
10.1111/mec.15734,2021,conservation biology; environmental DNA; insects; invertebrates
10.1002/lom3.10237,2018,N/A
10.1038/s41598-021-90598-5,2021,N/A
10.1098/rsos.160252,2016,carnivore conservation; large carnivores; predator–prey; prey base; prey depletion
10.1371/journal.pone.0094109,2014,N/A
10.1371/journal.pone.0039337,2012,N/A
10.1073/pnas.1013332108,2011,N/A
10.1098/rspb.2023.0026,2023,Okinawa Island; coral reef survey; direct diving observation; environmental DNA barcoding method
10.7717/peerj.3573,2017,Coral reef; Japan; Mesophotic; Pachyseris; Shifting communities; Succession; Typhoon recovery
10.1371/journal.pone.0101204,2014,N/A
10.1073/pnas.0706905105,2008,N/A
10.1111/jfb.14176,2021,WFD; Water Framework Directive; eDNA; fish-based assessment methods; rivers
10.1371/journal.pone.0088786,2014,N/A
10.1002/eap.2730,2023,Laurentian Great Lakes; eDNA; early detection; non-indigenous species; sequence coverage; species specificity; threatened and endangered species
10.1002/ece3.10669,2023,Aurelia coerulea; environmental DNA metabarcoding; jellyfish blooms; quantitative PCR
10.1002/ece3.9549,2022,bulk‐sample DNA; community composition; coral reef; environmental DNA; foraminifera; metabarcoding
10.1038/s41598-018-20833-z,2018,N/A
10.1038/s41598-019-42455-9,2019,N/A
10.1038/s41598-018-32680-z,2018,N/A
10.1128/AEM.07192-11,2012,N/A
10.1038/s41598-023-44908-8,2023,N/A
10.1371/journal.pone.0244682,2020,N/A
10.7717/peerj.16075,2023,Adaptation; Chaetodon lunulatus; Coral reefs; Environmental DNA; Reef fish; South China Sea
10.1002/ece3.4809,2019,arthropods; eDNA; environmental DNA metabarcoding; flowers; grassland; insects; pollinators
10.1371/journal.pone.0142503,2015,N/A
10.1186/1472-6785-13-44,2013,N/A
10.1371/journal.pone.0047214,2012,N/A
10.1093/molbev/msr121,2011,N/A
10.3389/fmicb.2021.637068,2021,Globisporangium; Phytophthora; Pythium; baiting; environmental DNA; plant pathogens
10.1016/j.cub.2021.12.014,2022,air filtration; air samplers; amplicon sequencing; bioaerosol; biodiversity; biomonitoring; conservation; eDNA; high-throughput sequencing; metabarcoding
10.3389/fmicb.2017.01729,2017,air sampling; airborne; metabarcoding; plant pathogen; urban
10.1002/ece3.10088,2023,Dianchi Lake; environmental DNA metabarcoding; environmental variables; inflow rivers; phytoplankton community
10.1002/ece3.5207,2019,Poyang Lake; assemblage structure; environmental elements change; macrozoobenthos
10.7717/peerj.14993,2023,Best practices; Data accessibility; Data storage; Data usability; Environmental DNA; FAIR data principles; Marine; Metabarcoding; Metadata; Systematic review
10.1002/ece3.8995,2022,DNA metabarcoding; biomonitoring; eDNA; invasive species; reptile diversity; threatened species
10.7717/peerj.8155,2019,DNA degradation; Reptile; Species distribution; eDNA
10.1002/ece3.4843,2019,biodiversity assessment; eDNA; extraction; filtration; metabarcoding
10.1038/s41598-024-69043-w,2024,Benthic macroinvertebrates; Lagoon ecosystems; eDNA metabarcoding
10.3897/BDJ.9.e67169,2021,Coastal-Marine Protected Areas; EUSAIR; European Adriatic-Ionian Macro-Region; NATURA 2000; non-indigenous species; protected species and habitats; traditional and innovative biomonitoring tools; transnational biodiversity geo-database.
10.1093/nar/gkad364,2023,N/A
10.1371/journal.pone.0286228,2023,N/A
10.1126/sciadv.abf5908,2021,N/A
10.1371/journal.pone.0092633,2014,N/A
10.1007/s00227-009-1289-8,2009,N/A
10.1038/s41598-021-98926-5,2021,N/A
10.1002/ece3.2186,2016,Chao estimator; electrofishing; freshwater community; metabarcoding; species identity
10.1111/1755-0998.13671,2022,environmental DNA; environmental RNA; fish; freshwater; metabarcoding; seasonality
10.1038/s42003-017-0005-3,2018,N/A
10.1371/journal.pone.0157366,2016,N/A
10.7717/peerj.16963,2024,Biodiversity; Biotic index; Ecological health; Ecology; Taxon-independent analysis; eDNA
10.3390/ani12223075,2022,Chiroptera; DNA metabarcoding; eDNA; environmental DNA; high-throughput nucleotide sequencing; pollination
10.7717/peerj.15127,2023,Biodiversity; Fusonaia; Mussel taxonomy; Phylogenetic; Pleurobema; Sipsey River; Unionidae; eDNA metagenomics
10.1002/ece3.6482,2020,Actinopterygii; Elasmobranchii; environmental DNA; marine fish surveys; metabarcoding
10.1038/s41598-019-44402-0,2019,N/A
10.1101/gr.849004,2004,N/A
10.1002/ece3.4742,2019,18S rRNA gene; cytochrome c oxidase I; eDNA; monitoring
10.7717/peerj.9508,2020,Biodiversity; Korea; MiFish pipeline; Next-generation sequencing; eDNA metabarcoding
10.1002/ece3.11091,2024,eDNA; metabarcoding; salmon; species detection; stratification
10.1038/s41598-024-66912-2,2024,N/A
10.1098/rspb.2020.2424,2020,climate change; ecosystem response; environmental DNA; metabarcoding; ocean acidification
10.1371/journal.pone.0273670,2022,N/A
10.1371/journal.pone.0185043,2017,N/A
10.1038/s41598-023-27512-8,2023,N/A
10.1073/pnas.0707157105,2008,N/A
10.1371/journal.pone.0250162,2021,N/A
10.1002/ece3.8239,2021,PCR replicates; alpha diversity; beta diversity; eDNA; methods; sedaDNA; sequencing depth
10.1002/ece3.2083,2016,Detection probability; PCR; environmental DNA; occupancy modeling
10.1038/s41598-019-47899-7,2019,N/A
10.1371/journal.pone.0260903,2023,N/A
10.1002/ece3.10014,2023,Fauna surveys; arid lands; biodiversity; biomonitoring; environmental DNA; metabarcoding; vertebrates
10.1111/1755-0998.13640,2022,DNA barcoding; biotechnology; environmental DNA; fish
10.1093/molbev/msad035,2023,database; environmental DNA; fish; genome annotation; mitochondrial genome; web service
10.1038/s41598-019-40233-1,2019,N/A
10.1111/1755-0998.13509,2022,antimetazoan; eDNA; eukaryome; metabarcoding; microeukaryote; symbiome
10.1101/gr.151803.112,2013,N/A
10.1111/1755-0998.13677,2022,eDNA; fish biodiversity; metabarcoding; natural sampler; nsDNA; porifera
10.1016/j.dib.2024.110541,2024,Coastal India; Environmental DNA; High-throughput sequencing; Illumina platform; Metabarcoding; Tropical
10.1038/s41467-024-48640-3,2024,N/A
10.1371/journal.pone.0291187,2023,N/A
10.1371/journal.pone.0301197,2024,N/A
10.1186/s12859-018-2320-1,2018,Bacterial genome; Metabarcoding; Metagenome; NGS; Software tool
10.1093/nar/gkh340,2004,N/A
10.3390/ani13101614,2023,eDNA metabarcoding; fish invasion; fish landing; terminal reservoir; water quality management; water transfer project
10.7717/peerj.14992,2023,Benthos; Environmental DNA; Environmental Impact; Estuary; Meiofauna; Pollution; Rio Doce
10.7717/peerj.13857,2022,Benthic; Deep sea; Phylogeny; Ribbon worm; Seamount; Systematics; Trap
10.1002/ece3.6042,2020,Brazilian biomes; eDNA metabarcoding; insect biodiversity; light traps
10.1186/s12859-022-05120-z,2023,Amplicon sequencing; BLAST; Biodiversity informatics; Darwin core; Metabarcoding; Species occurrence; eDNA
10.1371/journal.pone.0029715,2012,N/A
10.1038/s41598-017-13157-x,2017,N/A
10.7717/peerj.11057,2021,Metabarcoding; Sanmenxia reservoir; Seasonal variation; Water environmental factor; Zooplankton diversity
10.1128/mbio.01313-23,2023,early diverging fungi; parasite; phylogeny; single-cell analysis
10.1002/mbo3.977,2020,16S rRNA gene; absolute count data; metabarcoding; microbiome; normalization; spike-in
10.1371/journal.pone.0029973,2012,N/A
10.7717/peerj.6596,2019,Arthropod diet; Nestling; Non-invasive sampling; Provisioning; Rufous hummingbird; eDNA
10.1186/s13071-021-04935-8,2021,Amplicon sequencing; Biomonitoring; Gastrointestinal parasitic nematode; Metabarcoding; NC1–NC2 primers; Parasite; Reindeer
10.1002/ece3.4814,2019,Nematoda; UClust; USearch9; metabarcoding; mock community; reference sequence database
10.1128/AEM.71.12.8228-8235.2005,2005,N/A
10.1016/j.scitotenv.2021.150468,2022,Aerobiology; Airborne pollen; DNA metabarcoding; Quantification; nrITS2; trnL P6 loop
10.1002/ece3.7679,2021,European honeybee; ITS2; bee nutrition; biomonitoring; metabarcoding; molecular diet analysis; plant DNA; trnL
10.1371/journal.pone.0145365,2015,N/A
10.1371/journal.pone.0117562,2015,N/A
10.3390/ijms25031724,2024,DNA/RNA stability; metabarcoding; microalgae; quantitative real-time PCR; resting cysts; sediments
10.1038/s41598-020-80829-6,2021,N/A
10.1093/bioinformatics/btt434,2013,N/A
10.1093/bioinformatics/btu044,2014,N/A
10.1073/pnas.1918741117,2020,detectability; occupancy; power analysis; stochasticity; taxonomic resolution
10.1111/1755-0998.13008,2019,DNA barcoding; community ecology; ecological genetics; environmental DNA
10.1371/journal.pone.0106135,2014,N/A
10.1371/journal.pone.0233189,2020,N/A
10.1371/journal.pgen.1007943,2019,N/A
10.3897/BDJ.8.e57089,2020,Arctic; Tibet Plateau; chloroplast DNA; lakes; metabarcoding; plant diversity; sedimentary DNA; trnL P6 loop; vegetation
10.1371/journal.pone.0090529,2014,N/A
10.1098/rspb.2002.2218,2003,N/A
10.1038/srep37900,2016,N/A
10.1093/gbe/evs112,2012,N/A
10.1073/pnas.1120310109,2012,N/A
10.1093/plankt/fbad007,2023,environmental gradient; food-web; metabarcoding; trophic niche; zooplankton
10.1371/journal.pone.0289056,2023,N/A
10.1111/1755-0998.12891,2018,diet analyses; ecological genetics; environmental DNA; mammals; predator-prey interactions; wildlife management
10.7717/peerj.1966,2016,Biodiversity assessment; DNA metabarcoding; Freshwater invertebrates; High throughput sequencing; Illumina sequencing; Method testing; Primer bias; Small ribosomal subunit; Stream ecosystems; Stream monitoring
10.3390/ijms25063508,2024,16S rRNA gene; DADA2; OTUs; activated sludge; biodiversity; metabarcoding
10.7717/peerj.2345,2016,Bean goose; Diet analysis; Greater white-fronted goose; Metabarcoding; Molecular reference library; trnL
10.1002/ece3.773,2013,Conservation; DNA barcoding; diet analysis; next-generation sequencer; oceanic islands; red-headed wood pigeon
10.1186/1742-9994-6-16,2009,N/A
10.1186/gb-2007-8-7-r143,2007,N/A
10.1002/eap.2036,2020,AMOVA; Illumina; connectivity; cytochrome oxidase; eukaryotes; haplotype networks; metabarcoding; phylogeography; sequencing errors
10.1038/srep26528,2016,N/A
10.1371/journal.pone.0050719,2013,N/A
10.1093/femsec/fiab074,2021,DNA metabarcoding; Norway spruce; ectomycorrhiza; forest plantations; fungal communities; soil fungi
10.1038/s41467-017-01312-x,2017,N/A
10.1186/s40851-018-0088-9,2018,Above- and below-ground linkage; Collembola (springtails); DNA barcoding; Ecological communities; Food webs; Illumina sequencing; Insects; Molecular gut content analyses; Networks; Predator–prey interactions
10.1073/pnas.1104551108,2011,N/A
10.1093/molbev/msq038,2010,N/A
10.1093/molbev/msp070,2009,N/A
10.1038/ismej.2017.12,2017,N/A
10.3390/ijerph192114602,2022,DNA metabarcoding; microbenthic communities; microbial food web; nitrogen; paroxetine
10.3390/jof9040488,2023,Cabernet Sauvignon; Syrah; Trichoderma; Vitis vinifera; biological control; copper; fungicides; grapevine trunk diseases; microbiome
10.3390/jof8010047,2022,Vitis vinifera; grapevine trunk diseases (GTDs); metabarcoding
10.3389/fpls.2019.00910,2019,Vitis; esca disease; grapevine trunk diseases; metabarcoding; microbial ecology; mycobiome
10.3390/plants11151924,2022,Vitis; endophytic fungi; gas exchange; microbiome; viticulture; water potential
10.1038/s41467-019-13164-8,2019,N/A
10.1371/journal.pone.0169748,2017,N/A
10.1139/gen-2019-0226,2021,BIN; COI; DNA barcode reference library; Malta; Malte; banque de référence de codes à barres de l’ADN; inventaire des espèces; islands; species inventory; îles
10.1111/1755-0998.13536,2022,abundance; biomass; eDNA; metabarcoding; next-generation sequencing; quantification
10.1038/s41598-019-42978-1,2019,N/A
10.3897/BDJ.12.e125348,2024,12S mitochondrial ribosomal RNA; West Indies; environmental-DNA; fish; marine mammals; metabarcoding; temporal variations
10.1186/s12862-024-02224-3,2024,Biodiversity; Environmental DNA metabarcoding; Jellyfish bloom; Spatial distribution
10.1128/AEM.01504-19,2020,DNA sequencing; eDNA; environmental DNA; forensic science; metabarcoding
10.1002/ece3.9921,2023,Chukchi Sea; asymptotic analysis; dissimilarity; northwestern Pacific Ocean; replicated sampling
10.1038/s41598-021-95360-5,2021,N/A
10.1038/s41598-022-22198-w,2022,N/A
10.1371/journal.pone.0231127,2020,N/A
10.1002/ece3.6279,2020,environmental DNA; fish; metabarcoding; reservoir
10.7717/peerj.12458,2021,Benthos; Cytochrome c oxidase subunit I (COI); DNA metabarcoding; Environmental DNA; Sediment; Vestfold Hills
10.7717/peerj.14006,2022,Aquatic plankton; Benthic periphyton; Coral hosts; Coral triangle; Endosymbiotic dinoflagellate; Next generation biomonitoring
10.1002/ece3.11214,2024,biomarker; fish community; high‐throughput sequencing; metabarcoding; monitoring tool; river food web
10.3390/biology11070998,2022,environmental DNA (eDNA); extremophiles; high throughput sequencing; metabarcoding; microbiome; thermal spring
10.3389/fmicb.2021.633649,2021,Guaymas Basin; archaea; bacteria; cold seep; hydrothermal sediment; porewater profiles
10.1093/nar/gkh293,2004,N/A
10.1111/mec.16326,2022,ecotoxicology; environmental DNA; impact assessment; metabarcoding
10.1007/s44211-023-00280-1,2023,Buffer-ATL; Environmental DNA (eDNA); Marine sample; MiFish; RNAlater; Specific amplification
10.1371/journal.pone.0176608,2017,N/A
10.1016/j.mex.2024.102621,2024,Biodiversity monitoring; Deep-sea water; Large volume and multiple filtration system for environmental DNA; Scarcely contaminated filtration; eDNA
10.1371/journal.pntd.0008437,2020,N/A
10.1098/rspb.2019.2353,2020,Illumina MiSeq; biodiversity monitoring; camera trapping; environmental DNA; mammals
10.7717/peerj.6379,2019,18S rRNA; Anthozoa; Community structure; Demospongiae; Environmental DNA; Eukaryote; Porifera; Sponge loop
10.1073/pnas.1424997112,2015,ARMS; cryptic species; meiofauna; operational taxonomic units; oyster reefs
10.7717/peerj.16847,2024,Environmental DNA; Estuary; Seine; Tidewater goby
10.1016/j.isci.2024.108904,2024,Ecology; Genetics; Natural sciences; Zoology
10.1038/s41598-023-42389-3,2023,N/A
10.3390/biology11091277,2022,aquatic ecosystems; eDNA metabarcoding and eDNA; genetic distances; marker genes; phytoplankton
10.1371/journal.pone.0202844,2019,N/A
10.1098/rstb.2023.0178,2024,Mediterranean Sea; coastal system; fish; marine ecology; plankton; trophic interactions
10.1186/s12862-024-02265-8,2024,Metabarcoding; Mitochondrial genes; Mollusk; Primer development; eDNA
10.1111/cobi.13437,2020,ADNa; Arabian Gulf; DNA 条形码技术; Golfo Arábigo; biomonitoreo; biomonitoring; eDNA; fish; meta-código de barras; metabarcoding; peces; 生物监测; 阿拉伯湾; 鱼类
10.1128/AEM.71.12.7724-7736.2005,2005,N/A
10.1002/imt2.74,2023,DNA metabarcoding; Silk Road; desert area; environmental DNA; plant species diversity
10.1101/gr.1239303,2003,N/A
10.1093/nar/29.1.22,2001,N/A
10.1038/s41598-021-97128-3,2021,N/A
10.1093/database/baac032,2022,N/A
10.1038/nature24621,2017,N/A
10.1038/s41598-017-14978-6,2017,N/A
10.1371/journal.pone.0183347,2017,N/A
10.1371/journal.pone.0187636,2017,N/A
10.3389/fmicb.2018.03009,2018,Lepeophtheirus salmonis; Paramoeba perurans; Prymnesium parvum; Pseudo-nitzschia seriata; aquaculture; environmental DNA (eDNA)
10.1002/ece3.11020,2024,environmental DNA species detection; metabarcoding; springsnails
10.1007/s10530-021-02576-7,2021,Early detection; Invasion; Invasive species; New zealand mud snail; eDNA
10.1371/journal.pone.0281525,2023,N/A
10.3897/BDJ.12.e119851,2024,GBIF; eDNA; environmental DNA; fungi; histosols; peat; sphagnum
10.3897/mycokeys.96.101033,2023,Dead wood; metabarcoding; mycobiome; saproxylic fungi
10.1038/ismej.2015.38,2015,N/A
10.1371/journal.pone.0092897,2014,N/A
10.1038/ismej.2011.95,2012,N/A
10.1016/j.mex.2023.102448,2023,Environmental DNA collection method from stemflow; Forest canopy; Lichen; Metabarcoding; Rainwater; eDNA
10.3791/54741,2016,N/A
10.1038/s41598-018-22817-5,2018,N/A
10.1098/rsbl.2022.0091,2022,arthropods; biomonitoring; eDNA; plant–arthropod interaction
10.1038/s41598-021-95702-3,2021,N/A
10.1093/bioinformatics/btac556,2022,N/A
10.1038/s41598-023-47675-8,2023,N/A
10.3390/ani10112064,2020,biodiversity monitoring; environmental DNA; metagenomics; species diversity
10.1093/gigascience/giaa022,2020,Docker; HPC; container; eDNA; high performance computing; metabarcoding; pipeline; singularity
10.7717/peerj.1420,2015,Barcoding; Environmental diversity; Molecular operational taxonomic units
10.1186/s12862-021-01895-6,2021,12S ribosomal RNA; Chondrichthyes; Cytochrome c oxidase subunit I; Dark diversity; Southeast Asia; Urban coastlines
10.1111/j.1523-1739.2012.01835.x,2012,N/A
10.1073/pnas.0501562102,2005,N/A
10.7717/peerj.17091,2024,Baseline survey; Biodiversity monitoring; Coastal ecosystem; Marine biodiversity; Population ecology
10.1038/s41467-022-30842-2,2022,N/A
10.1111/ecog.02845,2018,N/A
10.1038/s41598-021-93859-5,2021,N/A
10.1016/j.dib.2020.105553,2020,Environmental DNA; Foraminifera; Metabarcoding; Svalbard; sedimentary DNA
10.7717/peerj.593,2014,Barcoding; Environmental diversity; Molecular operational taxonomic units
10.1073/pnas.1000080107,2011,N/A
10.1038/s41598-022-13412-w,2022,N/A
10.1002/ece3.1497,2015,18S rRNA; OTU; biodiversity; eDNA; high-throughput sequencing; metabarcoding
10.1111/mec.15742,2021,eDNA; high-throughput DNA sequencing; metabarcoding; monitoring; relative abundance; water sampling
10.7554/eLife.84553,2023,biodiversity monitoring; eDNA; ecology; genetics; genomics; kakapo; long-read genomics; non-invasive; real-time genomics
10.1038/s41586-021-03675-0,2021,N/A
10.1111/1755-0998.13506,2022,NUMT pseudogenes; PCR bias; metatranscriptomics; mitochondrial transcripts
10.1073/pnas.2307214121,2024,Wallacea; coral reef biodiversity; eDNA; marine spatial planning; spatial prioritization
10.1073/pnas.1524465113,2016,fisheries; functional diversity; global change; macroecology; structural equation model
10.1111/1365-2664.12430,N/A,N/A
10.1038/s41598-023-47378-0,2023,N/A
10.1038/ncomms4271,2014,N/A
10.1098/rspb.2020.0248,2020,Operational Taxonomic Unit; detectability; diversity assessment; eDNA metabarcoding; sequence clustering
10.1073/pnas.2307345120,2023,biodiversity; metabarcoding; nuclear eDNA; population genetics
10.1038/s41598-023-35614-6,2023,N/A
10.1038/s41598-018-28424-8,2018,N/A
10.1371/journal.pone.0103767,2014,N/A
10.12688/f1000research.16680.1,2018,citizen science; community ecology; community science; data visualization; education; environmental DNA; metabarcoding; shiny
10.1038/s41598-023-44258-5,2023,N/A
10.7717/peerj.8042,2019,Benthos; Doce; Estuary; Impacts; Meiofauna; Pollution; Rio; Samarco
10.1038/s41598-018-30179-1,2018,N/A
10.1038/s41598-019-39399-5,2019,N/A
10.1038/s41598-021-02593-5,2021,N/A
10.7717/peerj.15163,2023,Arthropods; Benthic invertebrates; Biomonitoring; Freshwater streams; Metabarcoding; Water quality; eDNA
10.1371/journal.pone.0165252,2016,N/A
10.1038/s41598-024-60917-7,2024,DNA-metabarcoding; Longlining; Marine fisheries; eDNA
10.3390/foods10061425,2021,commercial fishing; environmental samples; metabarcoding; seafood; species identification; traceability; tuna
10.1016/j.ecolind.2019.04.088,2019,Aquatic life use; Bioassessment; Biological impairment; Taxonomy; eDNA
10.1016/j.jenvman.2017.07.045,2017,DNA-based taxonomy; Early-detection monitoring; Morphological taxonomy; Survey design; Uncertainty characterization
10.1111/mec.13481,2016,biodiversity; eDNA; fish; metabarcoding; monitoring; next generation sequencing
10.1371/journal.pone.0198717,2018,N/A
10.1126/sciadv.abk0097,2022,N/A
10.1038/s41598-020-64858-9,2020,N/A
10.1111/mec.15484,2020,CCZ; abyssal plains; deep sea mining; meiofauna; metabarcoding; polymetallic nodules
