DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings,Journal Abbreviation,Affiliation,Country,Grants,Authors,Publisher
10.1371/journal.pone.0266720,2022,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Estuaries; Fishes","Dna, Environmental",Methods; Genetics,PLoS One,N/A,United States,N/A,Girish Kumar; Ashley M Reaume; Emily Farrell; Michelle R Gaither,N/A
10.1002/ece3.4213,2018,Arctic; coastal biodiversity; eDNA metabarcoding; global changes; invasion; spatio‐temporal distribution,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Anaïs Lacoursière-Roussel; Kimberly Howland; Eric Normandeau; Erin K Grey; Philippe Archambault; Kristy Deiner; David M Lodge; Cecilia Hernandez; Noémie Leduc; Louis Bernatchez,N/A
10.1371/journal.pone.0236540,2020,N/A,"Animals; Atlantic Ocean; Dna Barcoding, Taxonomic; Dna Primers; Dna, Environmental; Environmental Monitoring; Fishes; Phylogeny; Sequence Analysis, Dna",N/A,Methods; Genetics; Analysis; Classification; Genetics,PLoS One,N/A,United States,N/A,Beverly McClenaghan; Nicole Fahner; David Cote; Julek Chawarski; Avery McCarthy; Hoda Rajabi; Greg Singer; Mehrdad Hajibabaei,N/A
10.1186/1742-9994-10-34,2013,DNA barcoding; Food web; Mini-barcode; Mitochondrial marker; Second generation sequencing; Trophic interactions,N/A,N/A,N/A,Front Zool,N/A,England,N/A,Matthieu Leray; Joy Y Yang; Christopher P Meyer; Suzanne C Mills; Natalia Agudelo; Vincent Ranwez; Joel T Boehm; Ryuji J Machida,N/A
10.1371/journal.pone.0010278,2010,N/A,"Animals; Base Sequence; Biodiversity; Copepoda; Evolution, Molecular; Genes, Mitochondrial; Genetic Markers; Genetic Variation; Molecular Sequence Data; Plankton; Rna, Ribosomal; Rna, Ribosomal, 28S",N/A,Classification; Genetics; Genetics; Genetics; Genetics,PLoS One,N/A,United States,N/A,Ryuji J Machida; Atsushi Tsuda,N/A
10.1098/rstb.2003.1447,2004,N/A,Base Sequence; Classification; Computational Biology; Dna; Electronic Data Processing; Phylogeny; Species Specificity,Electronic Data Processing,Genetics; Methods; Methods; Classification,Philos Trans R Soc Lond B Biol Sci,N/A,England,N/A,Mark L Blaxter,N/A
10.1002/ece3.10275,2023,cascade hydropower; environmental DNA; fish diversity; species composition of the community; the Wujiang River,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Ruli Cheng; Yang Luo; Yufeng Zhang; Qinghua Li; Yingwen Li; Yanjun Shen,N/A
10.1371/journal.pone.0210357,2019,N/A,"Animals; Biodiversity; Dna; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Fishes; High-Throughput Nucleotide Sequencing; Japan; Lakes; Sequence Analysis, Dna; Species Specificity",N/A,Genetics; Isolation & Purification; Methods; Methods; Classification; Genetics,PLoS One,N/A,United States,N/A,Kazuya Fujii; Hideyuki Doi; Shunsuke Matsuoka; Mariko Nagano; Hirotoshi Sato; Hiroki Yamanaka,N/A
10.1016/j.ese.2024.100441,2024,Aquatic biodiversity; Environmental nucleic acids; Organismal size; Species detectability,N/A,N/A,N/A,Environ Sci Ecotechnol,N/A,Netherlands,N/A,Yan Zhang; Yu Qiu; Kai Liu; Wenjun Zhong; Jianghua Yang; Florian Altermatt; Xiaowei Zhang,N/A
10.1038/s41467-020-17337-8,2020,N/A,"Animals; Biodiversity; Dna, Environmental; Ecosystem; Insecta; Rivers",Biodiversity,Chemistry; Genetics; Classification; Genetics; Chemistry,Nat Commun,N/A,England,N/A,Luca Carraro; Elvira Mächler; Remo Wüthrich; Florian Altermatt,N/A
10.1002/ece3.1439,2015,Altitude range; comparative analysis; environmental filtering; insects; latitude; spatial extent; variance partitioning,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Jani Heino; Adriano S Melo; Luis Mauricio Bini; Florian Altermatt; Salman A Al-Shami; David G Angeler; Núria Bonada; Cecilia Brand; Marcos Callisto; Karl Cottenie; Olivier Dangles; David Dudgeon; Andrea Encalada; Emma Göthe; Mira Grönroos; Neusa Hamada; Dean Jacobsen; Victor L Landeiro; Raphael Ligeiro; Renato T Martins; María Laura Miserendino; Che Salmah Md Rawi; Marciel E Rodrigues; Fabio de Oliveira Roque; Leonard Sandin; Denes Schmera; Luciano F Sgarbi; John P Simaika; Tadeu Siqueira; Ross M Thompson; Colin R Townsend,N/A
10.1002/ece3.834,2013,Active dispersal; Moran's eigenvector maps; aquatic macroinvertebrates; community structure; environmental filtering; headwater streams; partial redundancy analysis; passive dispersal; variation partitioning,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Mira Grönroos; Jani Heino; Tadeu Siqueira; Victor L Landeiro; Juho Kotanen; Luis M Bini,N/A
10.1002/ece3.470,2013,Co-occurrence; dispersal; environmental heterogeneity; headwater streams; metacommunities,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Jani Heino,N/A
10.1111/1755-0998.13658,2022,allochthonous DNA; ancient DNA; biodiversity assessment; environmental DNA; extracellular DNA; intracellular DNA; metabarcoding; spatial resolution; temporal resolution,"Biodiversity; Biological Monitoring; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring","Dna, Environmental",N/A,Mol Ecol Resour,N/A,England,I 3808,Magdalena Nagler; Sabine Marie Podmirseg; Judith Ascher-Jenull; Daniela Sint; Michael Traugott,N/A
10.1128/mBio.00637-18,2018,biodiversity; ecology; extracellular DNA; mathematical modeling; phylogenetic analysis; sampling theory,"Bacteria; Biodiversity; Dna, Bacterial; Ecosystem; Extracellular Space; Microbiota; Models, Theoretical; Phylogeny; Rna, Ribosomal, 16S",Biodiversity; Ecosystem,Classification; Genetics; Genetics; Metabolism; Genetics; Genetics; Genetics,mBio,N/A,United States,N/A,J T Lennon; M E Muscarella; S A Placella; B K Lehmkuhl,N/A
10.24272/j.issn.2095-8137.2021.331,2022,DNA extraction; Estuarine ecosystem; Fish diversity; Sampling strategies; eDNA metabarcoding,"Animals; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Fishes; Water","Dna Barcoding, Taxonomic; Dna, Environmental; Fishes",Veterinary; Genetics,Zool Res,N/A,China,N/A,Hui-Ting Ruan; Rui-Li Wang; Hong-Ting Li; Li Liu; Tian-Xu Kuang; Min Li; Ke-Shu Zou,N/A
10.1038/s41598-021-86731-z,2021,N/A,"Animals; Biodiversity; Biomass; Dna Barcoding, Taxonomic; Environmental Monitoring; Food Chain; High-Throughput Nucleotide Sequencing; Oceans And Seas; Zooplankton","Biodiversity; Biomass; Dna Barcoding, Taxonomic; Food Chain; High-Throughput Nucleotide Sequencing",Classification; Genetics; Growth & Development,Sci Rep,N/A,England,N/A,Eva Garcia-Vazquez; Oriane Georges; Sara Fernandez; Alba Ardura,N/A
10.1038/s42003-021-01760-8,2021,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring; Fishes; Membranes, Artificial; Metagenome; Metagenomics; Oceans And Seas; Phylogeny","Biodiversity; Dna Barcoding, Taxonomic; Environmental Monitoring; Metagenome; Metagenomics",Isolation & Purification; Instrumentation; Classification; Genetics,Commun Biol,N/A,England,N/A,Cindy Bessey; Simon Neil Jarman; Tiffany Simpson; Haylea Miller; Todd Stewart; John Kenneth Keesing; Oliver Berry,N/A
10.1111/1755-0998.12281,2015,Lepomis macrochirus; eDNA extraction; eDNA preservation; environmental DNA,"Alcohols; Dna; Filtration; Metagenomics; Phenol; Preservation, Biological; Temperature",N/A,Isolation & Purification; Methods; Methods; Methods,Mol Ecol Resour,N/A,England,N/A,Mark A Renshaw; Brett P Olds; Christopher L Jerde; Margaret M McVeigh; David M Lodge,N/A
10.7717/peerj.12357,2021,16S; Illumina; Invasive; Metabarcoding; Monitoring; Newt; Water; eDNA,N/A,N/A,N/A,PeerJ,N/A,United States,N/A,Léo Charvoz; Laure Apothéloz-Perret-Gentil; Emanuela Reo; Jacques Thiébaud; Jan Pawlowski,N/A
10.1093/nar/gkv107,2015,N/A,Algorithms; Computer Simulation; Dna Primers; Gene Library; High-Throughput Nucleotide Sequencing; Internet; Multiplex Polymerase Chain Reaction; Reproducibility Of Results; Software,Algorithms; Gene Library,Genetics; Methods; Methods,Nucleic Acids Res,N/A,England,N/A,Philippe Esling; Franck Lejzerowicz; Jan Pawlowski,N/A
10.1002/eap.2379,2021,beta diversity; biomonitoring; citizen science; community ecology; ecological modeling; environmental DNA; gradient forest; remote sensing; zeta diversity,"Biodiversity; California; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring","Dna, Environmental; Ecosystem",N/A,Ecol Appl,N/A,United States,K12 GM106996; GT10483,Meixi Lin; Ariel Levi Simons; Ryan J Harrigan; Emily E Curd; Fabian D Schneider; Dannise V Ruiz-Ramos; Zack Gold; Melisa G Osborne; Sabrina Shirazi; Teia M Schweizer; Tiara N Moore; Emma A Fox; Rachel Turba; Ana E Garcia-Vedrenne; Sarah K Helman; Kelsi Rutledge; Maura Palacios Mejia; Onny Marwayana; Miroslava N Munguia Ramos; Regina Wetzer; N Dean Pentcheff; Emily Jane McTavish; Michael N Dawson; Beth Shapiro; Robert K Wayne; Rachel S Meyer,N/A
10.1371/journal.pone.0285674,2023,N/A,"Dna Barcoding, Taxonomic; Dna; Polymerase Chain Reaction; Dna, Environmental; Uncertainty; Biodiversity","Dna Barcoding, Taxonomic; Dna, Environmental",Methods; Genetics; Methods,PLoS One,N/A,United States,N/A,Zachary Gold; Andrew Olaf Shelton; Helen R Casendino; Joe Duprey; Ramón Gallego; Amy Van Cise; Mary Fisher; Alexander J Jensen; Erin D'Agnese; Elizabeth Andruszkiewicz Allan; Ana Ramón-Laca; Maya Garber-Yonts; Michaela Labare; Kim M Parsons; Ryan P Kelly,N/A
10.1038/s41598-020-71238-w,2020,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring; Fishes; Germany; Particulate Matter; Retrospective Studies; Rivers",Biodiversity,Methods; Genetics; Methods; Classification; Genetics; Chemistry; Chemistry,Sci Rep,N/A,England,N/A,Cecilia Díaz; Franziska-Frederike Wege; Cuong Q Tang; Alexandra Crampton-Platt; Heinz Rüdel; Elke Eilebrecht; Jan Koschorreck,N/A
10.1038/s41598-018-23052-8,2018,N/A,"Animals; Biodiversity; Dna; Environmental Monitoring; Filtration; Fresh Water; Preservation, Biological",N/A,Analysis; Instrumentation; Analysis,Sci Rep,N/A,England,N/A,Markus Majaneva; Ola H Diserud; Shannon H C Eagle; Erik Boström; Mehrdad Hajibabaei; Torbjørn Ekrem,N/A
10.1371/journal.pcbi.1004957,2016,N/A,"Genome, Bacterial; High-Throughput Nucleotide Sequencing; Metagenome; Microbiota; Sequence Analysis, Dna; Software; User-Computer Interface",Software,Genetics; Genetics; Genetics; Methods,PLoS Comput Biol,N/A,United States,N/A,Daniel H Huson; Sina Beier; Isabell Flade; Anna Górska; Mohamed El-Hadidi; Suparna Mitra; Hans-Joachim Ruscheweyh; Rewati Tappu,N/A
10.1038/srep19233,2016,N/A,Computational Biology; Ecosystem; Gastrointestinal Microbiome; High-Throughput Nucleotide Sequencing; Humans; Metagenome; Metagenomics; Skin; Software,Software,Methods; Genetics; Genetics; Methods; Microbiology,Sci Rep,N/A,England,N/A,Stinus Lindgreen; Karen L Adair; Paul P Gardner,N/A
10.1371/journal.pone.0272660,2022,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring; Fishes; Lakes; Water","Dna, Environmental; Lakes",Methods; Genetics; Methods; Genetics,PLoS One,N/A,United States,N/A,Alix Hervé; Isabelle Domaizon; Jean-Marc Baudoin; Tony Dejean; Pierre Gibert; Pauline Jean; Tiphaine Peroux; Jean-Claude Raymond; Alice Valentini; Marine Vautier; Maxime Logez,N/A
10.1371/journal.pone.0149786,2016,N/A,Animals; Bays; Biomass; Dna; Ecosystem; Japan; Perciformes,N/A,Genetics; Genetics,PLoS One,N/A,United States,N/A,Satoshi Yamamoto; Kenji Minami; Keiichi Fukaya; Kohji Takahashi; Hideki Sawada; Hiroaki Murakami; Satsuki Tsuji; Hiroki Hashizume; Shou Kubonaga; Tomoya Horiuchi; Masamichi Hongo; Jo Nishida; Yuta Okugawa; Ayaka Fujiwara; Miho Fukuda; Shunsuke Hidaka; Keita W Suzuki; Masaki Miya; Hitoshi Araki; Hiroki Yamanaka; Atsushi Maruyama; Kazushi Miyashita; Reiji Masuda; Toshifumi Minamoto; Michio Kondoh,N/A
10.7717/peerj.9176,2020,Aquatic insect; Diptera index; EPT index; eDNA,N/A,N/A,N/A,PeerJ,N/A,United States,N/A,Noriko Uchida; Kengo Kubota; Shunsuke Aita; So Kazama,N/A
10.1038/s41598-020-80602-9,2021,N/A,"Biodiversity; Cluster Analysis; Cytophagaceae; Dna Barcoding, Taxonomic; Dna, Environmental; Forests; Fresh Water; Lactococcus; Mycoplasma; Rna, Ribosomal, 16S",Forests,Genetics; Isolation & Purification; Methods; Analysis; Microbiology; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Chemistry; Metabolism,Sci Rep,N/A,England,N/A,Zachary S Ladin; Barbra Ferrell; Jacob T Dums; Ryan M Moore; Delphis F Levia; W Gregory Shriver; Vincent D'Amico; Tara L E Trammell; João Carlos Setubal; K Eric Wommack,N/A
10.1128/AEM.01240-10,2010,N/A,"Air Microbiology; Aspergillus Fumigatus; Bacillus; Bacteria; Dna, Bacterial; Dna, Fungal; Escherichia Coli; Fungi; Polymerase Chain Reaction; Reproducibility Of Results; Sensitivity And Specificity; Spores, Fungal",Air Microbiology,Genetics; Metabolism; Genetics; Metabolism; Genetics; Metabolism; Genetics; Genetics; Genetics; Metabolism; Genetics; Metabolism; Methods; Genetics; Metabolism,Appl Environ Microbiol,N/A,United States,N/A,Denina Hospodsky; Naomichi Yamamoto; Jordan Peccia,N/A
10.3390/biology10111132,2021,DNA barcoding; aquaculture; biodiversity; fisheries,N/A,N/A,N/A,Biology (Basel),N/A,Switzerland,"NTOU2019, NTOU2020, NTOU2021; LPP2019, LPP2020, LPP2021; 109toffrest001, 110toffrest001",Hung-Tai Lee; Cheng-Hsin Liao; Te-Hua Hsu,N/A
10.1002/ece3.4013,2018,Triturus cristatus; environmental DNA; great crested newt; high‐throughput sequencing; metabarcoding; ponds; real‐time quantitative PCR,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Lynsey R Harper; Lori Lawson Handley; Christoph Hahn; Neil Boonham; Helen C Rees; Kevin C Gough; Erin Lewis; Ian P Adams; Peter Brotherton; Susanna Phillips; Bernd Hänfling,N/A
10.1111/1755-0998.12433,2016,community ecology; environmental DNA; mesocosm; metabarcoding; species diversity,"Amphibians; Animals; Biodiversity; Dna Barcoding, Taxonomic; Environmental Monitoring; Fishes",Biodiversity,Classification; Genetics; Methods; Classification; Genetics,Mol Ecol Resour,N/A,England,N/A,Nathan T Evans; Brett P Olds; Mark A Renshaw; Cameron R Turner; Yiyuan Li; Christopher L Jerde; Andrew R Mahon; Michael E Pfrender; Gary A Lamberti; David M Lodge,N/A
10.1111/cobi.13183,2019,ADN ambiental; baited remote underwater video systems; elasmobranchs; elasmobranquios; environmental DNA; environmental genomics; genómica ambiental; manejo marino; marine management; sistemas remotos de video submarino con carnada,Animals; Biodiversity; Conservation Of Natural Resources; Ecosystem; Fishes; Western Australia,Conservation Of Natural Resources; Ecosystem,N/A,Conserv Biol,N/A,United States,N/A,Michael Stat; Jeffrey John; Joseph D DiBattista; Stephen J Newman; Michael Bunce; Euan S Harvey,N/A
10.1038/s41598-024-60762-8,2024,N/A,"Animals; Seasons; Fishes; Norway; Dna Barcoding, Taxonomic; Biodiversity; Estuaries; Ecosystem; Environmental Monitoring; Dna, Environmental","Seasons; Fishes; Dna Barcoding, Taxonomic; Biodiversity; Estuaries",Genetics; Classification; Methods; Methods; Genetics; Analysis,Sci Rep,N/A,England,N/A,Cintia Oliveira Carvalho; William Gromstad; Micah Dunthorn; Hans Erik Karlsen; Audun Schrøder-Nielsen; Jonathan Stuart Ready; Torbjørn Haugaasen; Grete Sørnes; Hugo de Boer; Quentin Mauvisseau,N/A
10.1371/journal.pone.0290036,2023,N/A,"Animals; Biosurveillance; Dna Barcoding, Taxonomic; Biodiversity; Ecosystem; Dna, Environmental; Plants; Introduced Species; Insecta; Ontario; Environmental Monitoring","Biosurveillance; Dna, Environmental",Methods; Genetics; Methods,PLoS One,N/A,United States,N/A,Yoamel Milián-García; Cassandre Pyne; Kate Lindsay; Adriana Romero; Robert H Hanner,N/A
10.1002/ece3.4387,2018,environmental DNA; high‐throughput sequencing; in silico; metabarcoding; primers,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Jonas Bylemans; Dianne M Gleeson; Christopher M Hardy; Elise Furlan,N/A
10.1038/s41598-017-12501-5,2017,N/A,"Animals; Aquatic Organisms; Dna; Environmental Monitoring; Metagenomics; Seawater; Sensitivity And Specificity; Sequence Analysis, Dna; Tropical Climate",N/A,Classification; Genetics; Analysis; Genetics; Methods; Methods; Chemistry,Sci Rep,N/A,England,N/A,Michael Stat; Megan J Huggett; Rachele Bernasconi; Joseph D DiBattista; Tina E Berry; Stephen J Newman; Euan S Harvey; Michael Bunce,N/A
10.1371/journal.pone.0176343,N/A,N/A,N/A,N/A,N/A
10.1371/journal.pone.0003881,2008,N/A,Animals; Ecosystem; Fisheries; Fishes; Oceans And Seas; Risk; Time Factors,Ecosystem,Methods; Physiology,PLoS One,N/A,United States,N/A,Marta Coll; Simone Libralato; Sergi Tudela; Isabel Palomera; Fabio Pranovi,N/A
10.1098/rstb.2004.1573,2005,N/A,"Animals; Conservation Of Natural Resources; Ecosystem; Fisheries; Fishes; Food Supply; Forecasting; History, 20Th Century; International Cooperation; Oceans And Seas; Predatory Behavior; Reproduction",Conservation Of Natural Resources; Food Supply; Predatory Behavior,Methods; Physiology; History; Physiology,Philos Trans R Soc Lond B Biol Sci,N/A,England,N/A,Ransom A Myers; Boris Worm,N/A
10.1038/s41598-023-47462-5,2023,N/A,"Dna Barcoding, Taxonomic; Phytoplankton; Reproducibility Of Results; Biodiversity; Dna, Environmental; Environmental Monitoring","Dna Barcoding, Taxonomic; Dna, Environmental",Methods; Genetics; Genetics; Methods,Sci Rep,N/A,England,N/A,Nadia Marinchel; Alexis Marchesini; Davide Nardi; Matteo Girardi; Silvia Casabianca; Cristiano Vernesi; Antonella Penna,N/A
10.1128/AEM.01298-08,2008,N/A,"Animals; Biomass; Dna Primers; Dna, Algal; Dna, Protozoan; Dna, Ribosomal; Diatoms; Dinoflagellida; Polymerase Chain Reaction; Seawater; Sensitivity And Specificity; Sweden",Biomass,Genetics; Genetics; Genetics; Genetics; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Methods; Microbiology; Parasitology,Appl Environ Microbiol,N/A,United States,N/A,Anna Godhe; Maria E Asplund; Karolina Härnström; V Saravanan; Anuj Tyagi; Indrani Karunasagar,N/A
10.1128/AEM.02720-06,2007,N/A,"Cheese; Colony Count, Microbial; Food Microbiology; Gene Expression Profiling; Gene Expression Regulation, Fungal; Kluyveromyces; L-Lactate Dehydrogenase; Lac Operon; Lactic Acid; Lactose; Methionine; Oligonucleotide Array Sequence Analysis; Saccharomyces Cerevisiae Proteins; Saccharomycetales; Transaminases; Yarrowia; Yeasts","Gene Expression Regulation, Fungal",Microbiology; Genetics; Metabolism; Genetics; Metabolism; Metabolism; Metabolism; Genetics; Genetics; Metabolism; Genetics; Genetics; Metabolism; Genetics; Metabolism,Appl Environ Microbiol,N/A,United States,N/A,Orianne Cholet; Alain Hénaut; Serge Casaregola; Pascal Bonnarme,N/A
10.1038/s41598-020-79738-5,2021,N/A,"Biodiversity; Climate Change; Dna Barcoding, Taxonomic; Dna, Environmental; Dna, Plant; Ecosystem; Environmental Monitoring; Ice Cover; Italy; Pilot Projects; Plants",N/A,Methods; Genetics; Genetics; Methods; Genetics,Sci Rep,N/A,England,N/A,Claudio Varotto; Massimo Pindo; Elena Bertoni; Christian Casarotto; Federica Camin; Matteo Girardi; Valter Maggi; Antonella Cristofori,N/A
10.1038/s41598-022-25274-3,2022,N/A,"Animals; Dna, Environmental; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Fishes; Biodiversity","Dna, Environmental",Genetics; Methods; Methods; Genetics,Sci Rep,N/A,England,N/A,Satsuki Tsuji; Ryutei Inui; Ryohei Nakao; Seiji Miyazono; Minoru Saito; Takanori Kono; Yoshihisa Akamatsu,N/A
10.1038/s41598-022-19954-3,2022,N/A,"Animals; Coral Reefs; Dna, Environmental; Ecosystem; Estuaries; Fishes","Dna, Environmental",Genetics; Genetics,Sci Rep,N/A,England,N/A,Danial Hariz Zainal Abidin; Siti Azizah Mohd Nor; Sébastien Lavoué; Masazurah A Rahim; Noor Adelyna Mohammed Akib,N/A
10.1371/journal.pone.0283088,2023,N/A,"Animals; Dna, Environmental; Dna Barcoding, Taxonomic; Biodiversity; Environmental Monitoring; Fishes; Fresh Water; Cypriniformes; Water; Ecosystem","Dna, Environmental; Cypriniformes",Methods; Methods; Genetics; Genetics,PLoS One,N/A,United States,N/A,Andrea Corral-Lou; Ignacio Doadrio,N/A
10.1002/ece3.10788,2023,assessment; biodiversity; eDNA; environmental DNA; iDNA; mammals; meta‐analysis; survey,N/A,N/A,N/A,Ecol Evol,N/A,England,N/A,Pauline Van Leeuwen; Johan Michaux,N/A
10.1186/s40064-015-1285-z,2015,DNA; Deer; Herbivory; Sweden,N/A,N/A,N/A,Springerplus,N/A,Switzerland,N/A,Ruth V Nichols; Joris P G M Cromsigt; Göran Spong,N/A
10.1038/s41598-022-13653-9,2022,N/A,"Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Eukaryota; Seawater","Dna, Environmental; Eukaryota",Genetics; Methods; Genetics,Sci Rep,N/A,England,N/A,Margoth L Castro-Cubillos; Joe D Taylor; Alicia Mastretta-Yanes; Francisco Benítez-Villalobos; Valentina Islas-Villanueva,N/A
10.1038/s41598-019-51341-3,2019,N/A,"Archaea; Atlantic Ocean; Bacteria; Conservation Of Natural Resources; Dna Barcoding, Taxonomic; Dna, Environmental; Ecological Parameter Monitoring; Eukaryota; Geologic Sediments; Maine; Metagenome; Microbiota; Phylogeny; Seawater",N/A,Classification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Genetics; Isolation & Purification; Classification; Genetics; Isolation & Purification; Microbiology; Genetics; Microbiology,Sci Rep,N/A,England,N/A,Jennifer M Polinski; John P Bucci; Mark Gasser; Andrea G Bodnar,N/A
10.1073/pnas.0605127103,2006,N/A,"Biodiversity; Databases, Genetic; Ecosystem; Environmental Microbiology; Evolution, Molecular; Genetic Variation; Marine Biology; Phylogeny; Seawater; Sequence Analysis, Dna; Temperature; Water Microbiology",Genetic Variation; Water Microbiology,Methods,Proc Natl Acad Sci U S A,N/A,United States,P50 ES012742; 1 P50 ES012742-01,Mitchell L Sogin; Hilary G Morrison; Julie A Huber; David Mark Welch; Susan M Huse; Phillip R Neal; Jesus M Arrieta; Gerhard J Herndl,N/A
